"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"1 KIND HOME INC","MIAMI","Miami-Dade","12","0","1","$1,500.00","11","0","2","9","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"81 OAKS SENIOR LIVING","SARASOTA","Sarasota","125","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Memory Care"
"A & C GOD BLESS ASSISTED LIVING FACILITY","PALM BAY","Brevard","5","0","0","$0.00","5","0","0","3","2","0","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"A & C LIVING FAITH HOME LLC","PALM BAY","Brevard","5","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"A & G MARVELOUS ALF, LLC","NORTH LAUDERDALE","Broward","6","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Other"
"A & J ALF OF FLORIDA INC, II","PALM BAY","Brevard","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","6","Arts and Crafts|Dancing|Games/Cards|Music Programs|Shopping|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"A & L HEALTH CARE CORP NO. 2","CORAL SPRINGS","Broward","6","0","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","4","Dancing|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A & L HEALTHCARE CORP.","CORAL SPRINGS","Broward","6","0","0","$0.00","1","0","0","1","0","0","1","Direct Part-Time","5","Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A & M @ EBER SPRINGS","MELBOURNE","Brevard","6","0","0","$0.00","2","0","0","2","0","0","NR","NR","NR","NR","NR","NR"
"A & M ASSISTED LIVING FACILITY II","WEST MELBOURNE","Brevard","6","0","0","$0.00","3","0","0","3","0","0","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"A BANYAN RESIDENCE AT WILDWOOD LLC","OXFORD","Sumter","100","7","1","$5,000.00","3","0","1","2","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"A BELLA VITA PLACE ASSISTED LIVING, LLC","DELRAY BEACH","Palm Beach","10","0","1","$500.00","6","0","0","3","2","1","NR","NR","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A BETHEL LOVING CARE OF THE TREASURE COAST INC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","6","0","0","4","2","0","1","3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"A COMFORT LIVING INC","NORTH MIAMI","Miami-Dade","14","1","7","$10,500.00","17","0","1","14","2","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC","WELLINGTON","Palm Beach","6","0","0","$0.00","4","0","0","3","1","0","1","Direct 24hr","5","Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"A COUNTRY PLACE ASSISTED LIVING FACILITY","TAMPA","Hillsborough","24","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","9","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga|Other","2","Memory Care|Pet Therapy"
"A GENTLE CARE ALF RESIDENCE # 2","PALM COAST","Flagler","6","1","2","$5,000.00","6","0","0","6","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"A HOME AWAY FROM HOME ALF INC","MIAMI","Miami-Dade","6","0","5","$4,500.00","30","0","1","26","1","2","1","None","1","Games/Cards","NR","NR"
"A KEE TO PARADISE LLC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","NR","NR"
"A LA MY LOVE ALF","TAMPA","Hillsborough","6","0","0","$0.00","1","0","0","1","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"A LIFE OF LOVE ALF, INC","MIAMI","Miami-Dade","6","0","0","$0.00","4","0","0","4","0","0","1","3rd Party 24hr","7","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping","NR","NR"
"A LOVELY HOME CARE BY GT, INC","MIAMI","Miami-Dade","6","0","1","$1,600.00","13","0","0","11","0","2","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"A LOVING FAMILY ALF LLC","VERO BEACH","Indian River","6","0","0","$0.00","2","0","0","2","0","0","2","Direct 24hr|Direct Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Social Events/Outings|Theater and Movies","NR","NR"
"A LOVING HAND FACILITY CARE LLC","PORT SAINT LUCIE","St. Lucie","6","0","2","$1,400.00","15","0","0","8","2","5","1","3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Massage Therapy/Spa|Pet Therapy"
"A LOVING HOME ENTERPRISES, INC.","MIAMI","Miami-Dade","6","0","0","$0.00","7","0","0","7","0","0","1","None","2","Arts and Crafts|Games/Cards","NR","NR"
"A PARADISE HOME ALF II LLC","WEST PALM BEACH","Palm Beach","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","8","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"A PIEDRA ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","4","0","0","4","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"A PLACE LIKE HOME ALF, INC","PALM BAY","Brevard","6","3","11","$21,000.00","31","0","2","24","0","5","1","3rd Party Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Yoga","2","Memory Care|Pet Therapy"
"A QUAINT MEADOW","LAKE WORTH","Palm Beach","6","0","1","$1,000.00","0","0","0","0","0","0","1","3rd Party 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"A SWEET ALF, INC.","HIALEAH","Miami-Dade","6","0","2","$4,800.00","17","0","2","13","0","2","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings","NR","NR"
"A TOUCH OF CLASS #1 ADULT CARE LLC","PORT ST LUCIE","St. Lucie","5","0","0","$0.00","1","0","0","0","0","1","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"A TOUCH OF CLASS ADULT CARE LLC","PORT SAINT LUCIE","St. Lucie","10","0","1","$1,150.00","1","0","0","1","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"A&D TENDER LOVING CARE, LLC","POMPANO BEACH","Broward","6","0","0","$0.00","2","0","0","2","0","0","2","Direct 24hr|Direct Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","NR","NR"
"A&J ASSISTED LIVING FACILITY","PALM BAY","Brevard","6","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|3rd Party 24hr","5","Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A+ SENIOR HOME INC","MIAMI","Miami-Dade","6","0","0","$0.00","7","0","0","7","0","0","1","None","4","Dancing|Games/Cards|Gardening|Theater and Movies","NR","NR"
"A-1 ASSISTED LIVING FACILITY, LLC","MIAMI","Miami-Dade","6","0","1","$0.00","12","0","0","10","0","2","1","None","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs","NR","NR"
"A1 SENIOR LIVING","DEERFIELD BEACH","Broward","6","0","1","$0.00","1","0","0","1","0","0","NR","NR","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"A1A CARE CENTER, INC","HIALEAH","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","3","Arts and Crafts|Games/Cards|Music Programs","NR","NR"
"AASBURY MANOR ALF","ORLANDO","Orange","14","1","2","$1,000.00","38","0","2","31","2","3","1","3rd Party 24hr","4","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings","NR","NR"
"ABACO HOUSE ALF","PALM SPRINGS","Palm Beach","6","0","1","$1,500.00","11","0","0","7","1","3","1","Direct 24hr","4","Arts and Crafts|Dancing|Exercise Classes|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"ABBEY DELRAY ASSISTED LIVING AND MEMORY CARE","DELRAY BEACH","Palm Beach","82","3","0","$0.00","3","0","0","2","1","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"ABBEY'S CARING RESIDENCE","HOLLYWOOD","Broward","19","0","0","$0.00","3","0","0","2","0","1","2","Direct 24hr|Direct Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"ABIDE N LOVE","PALM BAY","Brevard","5","0","1","$500.00","1","0","0","0","0","1","NR","NR","NR","NR","NR","NR"
"ABIGAIL (THE)","TAMPA","Hillsborough","19","0","0","$0.00","7","0","0","7","0","0","2","Direct Part-Time|3rd Party 24hr","5","Arts and Crafts|Dancing|Games/Cards|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"ABOVE THE REST ASSISTED LIVING FACILITY","PALM BAY","Brevard","10","0","2","$1,500.00","10","0","0","9","1","0","1","Direct 24hr","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"ABSOLUTE CARE RESIDENCE","SUNRISE","Broward","14","0","2","$1,000.00","7","0","0","6","0","1","1","None","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"ABUELAS RETIREMENT HOME INC","MIAMI","Miami-Dade","6","1","0","$0.00","1","0","0","1","0","0","1","3rd Party 24hr","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"ABUELITAS HOME, INC","MIAMI","Miami-Dade","6","0","0","$0.00","2","0","0","2","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ABUELO EUSEBIO ALF CORPORATION","HOMESTEAD","Miami-Dade","6","0","2","$775.00","7","0","0","6","0","1","1","3rd Party Part-Time","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","1","Pet Therapy"
"ABUELO FELIZ HOME 2 LLC","TAMPA","Hillsborough","5","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","NR","NR","2","Memory Care|Pet Therapy"
"ABUELO FELIZ HOME LLC","TAMPA","Hillsborough","6","1","1","$500.00","3","0","0","3","0","0","1","Direct 24hr","4","Arts and Crafts|Exercise Classes|Games/Cards|Theater and Movies","1","Memory Care"
"ABUELO'S ANA ALF","TAMPA","Hillsborough","6","1","0","$0.00","4","0","0","2","1","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"ABUELOS ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","3","0","0","3","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"ABUNDANT CARE RESIDENCE","WELLINGTON","Palm Beach","6","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"ABUNDANT LOVE & CARE ASSISTED LIVING FACILITY 2 INC","LAKELAND","Polk","23","0","0","$0.00","0","0","0","0","0","0","1","None","5","Arts and Crafts|Shopping|Social Events/Outings|Theater and Movies|Other","6","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Speech Therapy"
"ACACIA GROVE ASSISTED LIVING FACILITY LLC","ORANGE PARK","Clay","8","0","1","$500.00","1","0","0","1","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"ACADEMY ASSISTED LIVING FACILITY, INC","FORT PIERCE","St. Lucie","20","1","2","$1,000.00","1","0","0","0","1","0","1","None","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Physical Therapy"
"ACC SUNSHINE, INC","MIAMI","Miami-Dade","6","0","0","$0.00","2","0","0","2","0","0","1","None","3","Arts and Crafts|Games/Cards|Gardening","NR","NR"
"ACCORDIA WOODS","PALM HARBOR","Pinellas","25","1","1","$300.00","17","0","0","16","0","1","1","3rd Party Part-Time","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"ACHOY ASSISTED LIVING INC","HIALEAH","Miami-Dade","27","1","0","$0.00","7","0","3","3","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ACTIVE ASSISTED LIVING LLC","BRANDON","Hillsborough","6","0","0","$0.00","2","0","0","2","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"ACTIVE SENIOR LIVING RESIDENCE","TAMARAC","Broward","72","6","4","$10,750.00","9","1","0","5","0","3","2","Direct Part-Time|3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"ADA ALF INC","MIAMI","Miami-Dade","6","0","1","$0.00","6","0","0","5","1","0","2","3rd Party 24hr|3rd Party Part-Time","2","Games/Cards|Theater and Movies","NR","NR"
"ADA RETIREMENT HOME INC","MIAMI","Miami-Dade","6","0","0","$0.00","15","0","0","15","0","0","3","Direct Part-Time|3rd Party 24hr|3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"ADAM F/F INC","HIALEAH","Miami-Dade","21","1","3","$23,000.00","17","1","2","13","0","1","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"ADAM HOME # 2 INC.","HIALEAH","Miami-Dade","12","0","2","$10,000.00","11","0","3","8","0","0","1","None","3","Arts and Crafts|Games/Cards|Social Events/Outings","NR","NR"
"ADAMS RETIREMENT HOME, INC.","FORT LAUDERDALE","Broward","6","0","1","$0.00","3","0","0","2","1","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"ADDINGTON PLACE AT COLLEGE HARBOR","SAINT PETERSBURG","Pinellas","90","2","2","$0.00","0","0","0","0","0","0","1","Direct 24hr","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","7","Audiology|Massage Therapy/Spa|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"ADDINGTON PLACE JUPITER","JUPITER","Palm Beach","80","1","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","1","Memory Care"
"ADDINGTON PLACE OF EAST LAKE","TARPON SPRINGS","Pinellas","130","2","0","$0.00","2","0","0","2","0","0","NR","NR","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"ADDINGTON PLACE OF TITUSVILLE","TITUSVILLE","Brevard","90","7","5","$15,400.00","24","0","3","14","2","5","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","2","Memory Care|Pet Therapy"
"ADDINGTON PLACE STUART","STUART","Martin","104","3","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"ADELA'S GARDENS ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ADEN SENIOR LIVING","ORMOND BEACH","Volusia","160","0","1","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Memory Care"
"ADULT CARE OF MIAMI, INC","MIAMI","Miami-Dade","6","0","1","$3,750.00","14","0","1","13","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ADULT HOME CARE LLC","SAINT PETERSBURG","Pinellas","16","1","0","$0.00","0","0","0","0","0","0","NR","NR","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"ADVANTAGE SENIOR LIVING FACILITY LLC","FORT LAUDERDALE","Broward","6","0","1","$0.00","0","0","0","0","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"ADVENT SQUARE","BOCA RATON","Palm Beach","16","0","2","$1,000.00","9","0","0","9","0","0","1","Direct Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"AFH SENIOR CARE CORAL SPRINGS","CORAL SPRINGS","Broward","6","0","2","$1,000.00","9","0","0","6","0","3","1","None","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies|Yoga","2","Occupational Therapy|Physical Therapy"
"AFH SENIOR CARE PLANTATION","PLANTATION","Broward","9","0","1","$0.00","5","0","0","5","0","0","1","None","4","Arts and Crafts|Music Programs|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"AFH SENIOR CARE POMPANO BEACH","POMPANO BEACH","Broward","10","0","2","$500.00","10","0","0","8","1","1","1","Direct 24hr","4","Arts and Crafts|Music Programs|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"AGING HOME PARADISE LLC","KISSIMMEE","Osceola","6","1","3","$1,800.00","30","0","0","22","2","6","1","Direct 24hr","3","Arts and Crafts|Dancing|Games/Cards","NR","NR"
"AGING WORLD ALF, LLC","MIAMI","Miami-Dade","6","1","2","$2,600.00","12","0","1","11","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"AGING WORLD OF WESTCHESTER ALF LLC","MIAMI","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"AGUILA ADULT CARE CENTER","TAMPA","Hillsborough","10","0","1","$400.00","1","0","0","1","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"AGUILA ADULT CARE CENTER II","TAMPA","Hillsborough","16","0","0","$0.00","1","0","0","1","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"AGUILA ASSISTED LIVING FACILITY","TAMPA","Hillsborough","16","0","0","$0.00","0","0","0","0","0","0","1","None","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"AIDEN SPRINGS","WINTER PARK","Orange","25","0","0","$0.00","1","0","0","1","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"ALABAMA OAKS OF WINTER PARK","WINTER PARK","Orange","19","1","4","$19,500.00","29","1","2","23","0","3","3","Direct 24hr|3rd Party 24hr|3rd Party Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"ALBA COURT RESIDENCES","NEW SMYRNA BEACH","Volusia","109","0","0","$0.00","2","0","0","1","0","1","1","3rd Party Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"ALBORADA ALF INC","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","None","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"ALBORADA ALF INC","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"ALBORADA FAMILY HOME ALF LLC","MIAMI","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"ALDARA HOME INC","MIAMI","Miami-Dade","6","0","2","$1,500.00","5","0","1","3","1","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"ALDEA GREEN","BRANDON","Hillsborough","120","2","1","$0.00","0","0","0","0","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"ALDER TERRACE GARDENS","PUNTA GORDA","Charlotte","32","0","1","$500.00","10","0","0","8","0","2","1","Direct 24hr","9","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"ALDERMAN OAKS RETIREMENT CENTER INC","SARASOTA","Sarasota","28","0","0","$0.00","6","0","0","3","2","1","2","Direct Part-Time|3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"ALEA ASSISTED LIVING FACILITIES, LLC","LAUDERHILL","Broward","8","1","2","$500.00","8","0","0","4","1","3","1","None","5","Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"ALEGRIA ALF LLC","MIAMI","Miami-Dade","6","1","1","$1,200.00","23","2","5","15","0","1","1","None","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs","NR","NR"
"ALELEA ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","2","0","0","2","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ALEMAN'S FAMILY HOME CORP","MIAMI","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","2","Occupational Therapy|Physical Therapy"
"ALEXA INC (THE)","TAMPA","Hillsborough","11","2","8","$10,500.00","27","0","0","24","0","3","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings|Theater and Movies|Yoga","1","Pet Therapy"
"ALF FAMILY CARE CORP","MIAMI","Miami-Dade","6","0","4","$4,900.00","18","0","1","16","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"ALF FAMILY CARE II CORP","MIAMI","Miami-Dade","6","1","3","$5,000.00","13","0","1","10","0","2","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ALF FAMILY PALACE CORP.","HIALEAH","Miami-Dade","6","0","0","$0.00","9","0","0","9","0","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs","NR","NR"
"ALF FAMILY SOLUTION CORP","MIAMI","Miami-Dade","6","0","3","$2,900.00","13","1","0","11","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"ALF HOME ASSISTED LIVING PLUS MORE","WEST PALM BEACH","Palm Beach","6","0","1","$500.00","13","0","0","9","2","2","1","Direct 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"ALF KAYLA'S PLACE INC","MIAMI","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","NR","NR","NR","NR","NR","NR"
"ALF LUCIA LLC","MIAMI","Miami-Dade","6","0","2","$1,550.00","15","0","0","13","0","2","1","None","3","Arts and Crafts|Games/Cards|Music Programs","NR","NR"
"ALF MANAGEMENT AND PROFESSIONAL SERVICES, INC","MIAMI","Miami-Dade","14","0","1","$500.00","6","0","0","6","0","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
