"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"THE WATERFORD AT CARPENTER'S CREEK","PENSACOLA","Escambia","105","3","0","$0.00","8","0","0","6","2","0","1","Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE WATERFORD AT CREEKSIDE","PENSACOLA","Escambia","98","4","1","$150.00","12","0","0","10","2","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE WATERMARK AT CORAL GABLES","CORAL GABLES","Miami-Dade","130","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Massage Therapy/Spa|Memory Care|Pet Therapy"
"THE WATERMARK AT WEST PALM BEACH","WEST PALM BEACH","Palm Beach","73","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE WAVERLY","TRINITY","Pasco","175","1","0","$0.00","0","0","0","0","0","0","1","None","7","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Shopping|Social Events/Outings","2","Memory Care|Pet Therapy"
"THE WILLOWS","OXFORD","Sumter","134","1","1","$8,000.00","1","1","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE WILSON PLACE","COCOA BEACH","Brevard","6","0","0","$0.00","2","0","0","2","0","0","1","None","7","Arts and Crafts|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Other","NR","NR"
"THERAPEUTIC ASSISTED LIVING CORP","PALM COAST","Flagler","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THERE'S NOTHING LIKE HOMECARE LLC","PALM BAY","Brevard","6","1","3","$1,000.00","21","0","0","18","0","3","1","Direct Part-Time","7","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","1","Pet Therapy"
"THERESA HOME","SAFETY HARBOR","Pinellas","20","3","1","$5,000.00","3","0","1","2","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"TIFFANY ON THE RIVER","NEW SMYRNA BEACH","Volusia","7","0","0","$0.00","0","0","0","0","0","0","1","3rd Party 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Shopping","1","Memory Care"
"TIKAS ALF INC","MIAMI","Miami-Dade","6","1","3","$5,200.00","16","0","1","15","0","0","1","None","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"TINA'S ALF","SARASOTA","Sarasota","6","0","0","$0.00","5","0","0","3","2","0","1","3rd Party 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"TITUSVILLE TOWERS ALF","TITUSVILLE","Brevard","138","10","5","$12,500.00","27","0","2","22","1","2","2","Direct 24hr|3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","4","Occupational Therapy|Physical Therapy|Speech Therapy|Other"
"TL SEA HOME CARE SERVICES","MIAMI","Miami-Dade","8","1","1","$2,000.00","20","0","1","19","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"TLC FAMILY CARE HOME INC","LEESBURG","Lake","6","0","1","$0.00","0","0","0","0","0","0","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"TOBY WEINMAN RESIDENCE","SAINT PETERSBURG","Pinellas","24","2","0","$0.00","3","0","0","2","0","1","1","Direct 24hr","9","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"TOMEGUIN GARDEN ASSISTED LIVING LLC","KISSIMMEE","Osceola","6","0","0","$0.00","2","0","0","2","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"TONI MARY HOME ALF CORP","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","11","0","0","11","0","0","1","3rd Party Part-Time","NR","NR","NR","NR"
